Вайтран | Вайтран | X: 19855.226563, Y: -7422.510254, Z: -3582.619385, IconType: 40 | 0x162CE
Вайтран | Драконий Предел | X: 26871.640625, Y: 209.051636, Z: -1656.362061, IconType: 39 | 0xC44AD
Виндхельм | Виндхельм | X: 135025.781250, Y: 35596.585938, Z: -12469.470703, IconType: 38 | 0x38436
Виндхельм | Королевский дворец | X: 134899.375000, Y: 41679.261719, Z: -11772.475586, IconType: 37 | 0xC44B3
Забытая долина | Внутреннее Святилище | X: -24546.726563, Y: -15413.484375, Z: 8009.273438, IconType: 41 | 0x32005734
Забытая долина | Забытая долина | X: 20252.876953, Y: 5160.731934, Z: 779.849365, IconType: 24 | 0x20088E0
Забытая долина | Замерзшее озеро | X: -7940.485840, Y: 5269.125977, Z: 3490.097656, IconType: 12 | 0x32007EDA
Забытая долина | Ледяная расщелина | X: -24998.044922, Y: 3488.934082, Z: 4070.066650, IconType: 24 | 0x32007ED2
Забытая долина | Парагоновый Портал | X: -2352.572998, Y: 16526.873047, Z: 2033.202759, IconType: 11 | 0x32007ED8
Забытая долина | Пещера Крутой Склон | X: -25843.763672, Y: 20740.716797, Z: 6088.936523, IconType: 4 | 0x32007ED4
Забытая долина | Пещеры Забытой Долины | X: 18150.429688, Y: 14633.559570, Z: 996.789063, IconType: 4 | 0x32007EE2
Забытая долина | Святилище Наблюдения | X: 14209.999023, Y: 19365.181641, Z: 2020.993408, IconType: 34 | 0x32007EE0
Забытая долина | Святилище Познания | X: 7363.134277, Y: -2023.913330, Z: 824.240112, IconType: 34 | 0x32007EDC
Забытая долина | Святилище Решимости | X: -11756.630859, Y: 15378.827148, Z: 4108.407227, IconType: 34 | 0x32007ED6
Забытая долина | Святилище Сияния | X: -31180.128906, Y: -21534.267578, Z: 7418.014648, IconType: 34 | 0x32005736
Забытая долина | Фалмерский Каньон | X: -33835.886719, Y: -13888.463867, Z: 3373.257080, IconType: 24 | 0x32005737
Каирн Душ | Лабиринт | X: -10408.350586, Y: 14111.196289, Z: -73.578369, IconType: 6 | 0x33007ED4
Каирн Душ | Лагерь Джиуба | X: 18528.000000, Y: -3120.000000, Z: -47.000000, IconType: 5 | 0x33007ED2
Каирн Душ | Лагерь торговца | X: -2872.879150, Y: -5318.043945, Z: 268.310303, IconType: 5 | 0x33007ED0
Каирн Душ | Логово Жнеца | X: 21633.480469, Y: -10367.791992, Z: -81.613770, IconType: 18 | 0x33007ED1
Каирн Душ | Могильник | X: 6672.000000, Y: 10112.000000, Z: 1600.000000, IconType: 12 | 0x33007ECE
Каирн Душ | Портал в Скайрим | X: -18346.187500, Y: -14497.782227, Z: 971.370117, IconType: 11 | 0x33007ECF
Каирн Душ | Приют потерянных душ | X: -880.000000, Y: -19168.000000, Z: 1728.000000, IconType: 6 | 0x33007ED9
Каирн Душ | Череп Арвака | X: 22752.000000, Y: 6192.000000, Z: 199.559570, IconType: 40 | 0x33007ED7
Каирн Душ | Шпиль смотрителя | X: -18811.000000, Y: 10310.000000, Z: 532.000000, IconType: 27 | 0x33007ED3
Каирн Душ | Шпиль смотрителя | X: 13872.000000, Y: -9696.000000, Z: 129.000000, IconType: 27 | 0x33007ED6
Каирн Душ | Шпиль смотрителя | X: 27696.000000, Y: 14864.000000, Z: 223.000000, IconType: 27 | 0x33007ED8
Картспайр | Храм Небесной гавани | X: 130399.015625, Y: -2040.901855, Z: 2914.061523, IconType: 11 | 0x1637C
Лесная долина | Ведьмино гнездо | X: -123922.570313, Y: 79920.085938, Z: -2292.000000, IconType: 7 | 0x1625F
Маркарт | Маркарт | X: -174024.296875, Y: 5255.478516, Z: -3322.362305, IconType: 44 | 0x1C38A
Маркарт | Подкаменная крепость | X: -178915.640625, Y: 3565.220947, Z: -2182.999512, IconType: 43 | 0xC44AF
Рифтен | Крепость Миствейл | X: 173481.640625, Y: -99978.976563, Z: 11522.252930, IconType: 35 | 0xC44B1
Рифтен | Рифтен | X: 173415.203125, Y: -96600.148438, Z: 11104.006836, IconType: 36 | 0x1C390
Роща Великанов | Роща Великанов | X: 195274.156250, Y: -82001.078125, Z: 1917.010010, IconType: 10 | 0xD28B7
Скайрим | Аванчнзел | X: 122073.007813, Y: -107290.070313, Z: 13496.592773, IconType: 8 | 0x1620D
Скайрим | Айварстед | X: 76374.609375, Y: -64262.789063, Z: 10818.826172, IconType: 2 | 0x17791
Скайрим | Алтарь Рожденного Небом | X: -5305.196777, Y: 48248.640625, Z: 339.834930, IconType: 12 | 0x16239
Скайрим | Альфтанд | X: 78347.007813, Y: 77408.625000, Z: -4243.415039, IconType: 8 | 0x15D4A
Скайрим | Ангарвунд | X: 113490.734375, Y: -97166.718750, Z: 13467.749023, IconType: 7 | 0x15D51
Скайрим | Ансилвунд | X: 174572.468750, Y: -35182.523438, Z: 730.478394, IconType: 7 | 0x15D56
Скайрим | Аркнтамз | X: -139019.109375, Y: -31984.970703, Z: 1170.764893, IconType: 8 | 0x2008257
Скайрим | Арочный перевал | X: 67922.710938, Y: 30777.960938, Z: -6954.685547, IconType: 29 | 0x162C7
Скайрим | Башни Валтейм | X: 74450.351563, Y: -1043.839844, Z: -4292.759277, IconType: 31 | 0x162C9
Скайрим | Башня Баннермист | X: -57304.628906, Y: -62109.050781, Z: 1767.110962, IconType: 31 | 0x4781E
Скайрим | Башня Белая Сосна | X: -142901.265625, Y: 99301.398438, Z: -3970.761719, IconType: 22 | 0xEF0BA
Скайрим | Башня Кредлстоун | X: -99712.796875, Y: -33860.882813, Z: 2534.982910, IconType: 31 | 0xB23A1
Скайрим | Башня Светотьмы | X: 149284.671875, Y: -115996.984375, Z: 12543.289063, IconType: 6 | 0x1622A
Скайрим | Белая сторожевая башня | X: 31343.064453, Y: 12925.824219, Z: -4994.608887, IconType: 22 | 0xDD99A
Скайрим | Белый Берег - Имперский лагерь | X: -2159.260254, Y: 101148.726563, Z: -11094.752930, IconType: 16 | 0x1627B
Скайрим | Бтардамз | X: -163984.234375, Y: 45861.828125, Z: -3776.000000, IconType: 8 | 0x1621D
Скайрим | Вайтран - Конюшни | X: 18312.816406, Y: -10665.456055, Z: -4590.237793, IconType: 21 | 0x72879
Скайрим | Вайтран - Лагерь Братьев Бури | X: 51979.773438, Y: -16247.252930, Z: -693.907715, IconType: 17 | 0x95885
Скайрим | Валтум | X: -114984.007813, Y: -31214.486328, Z: 385.142365, IconType: 7 | 0x8D5D6
Скайрим | Ведьмин оплот | X: -173318.171875, Y: -17115.703125, Z: 4318.811523, IconType: 7 | 0x1625E
Скайрим | Вершина Северный Ветер | X: 151002.843750, Y: -53453.421875, Z: 13232.522461, IconType: 12 | 0x16234
Скайрим | Веселая ферма | X: 166303.578125, Y: -88701.640625, Z: 11063.705078, IconType: 13 | 0x268FF
Скайрим | Ветреный пик | X: 1482.456299, Y: -41162.320313, Z: 5726.513184, IconType: 7 | 0x16232
Скайрим | Ветровая Дуга | X: 66949.968750, Y: -99471.281250, Z: 17301.593750, IconType: 7 | 0xF5FEF
Скайрим | Вечерняя пещера | X: -154519.328125, Y: 72470.796875, Z: -5246.639648, IconType: 4 | 0x2004C0F
Скайрим | Вечнозеленая роща | X: -51017.667969, Y: -67845.015625, Z: -892.235107, IconType: 10 | 0x16241
Скайрим | Виндхельм - Конюшни | X: 135885.875000, Y: 26101.390625, Z: -12348.473633, IconType: 21 | 0x9846F
Скайрим | Винтерхолд - Имперский лагерь | X: 51947.699219, Y: 95472.132813, Z: -6868.511230, IconType: 16 | 0x1627D
Скайрим | Винтерхолд | X: 109207.531250, Y: 102864.039063, Z: -9012.631836, IconType: 46 | 0x177EF
Скайрим | Висельная скала | X: 100513.664063, Y: 5877.516602, Z: -7900.156250, IconType: 6 | 0x16254
Скайрим | Водоем Холодный Ветер | X: 1538.876099, Y: 1305.978394, Z: -5795.574219, IconType: 29 | 0x16211
Скайрим | Волундруд | X: 10419.259766, Y: 31079.822266, Z: -831.451416, IconType: 7 | 0x16264
Скайрим | Вольскигге | X: -130324.421875, Y: 92287.085938, Z: -6759.669922, IconType: 7 | 0x162CA
Скайрим | Воронья нора | X: -91591.093750, Y: 126460.156250, Z: -13796.797852, IconType: 4 | 0x1629C
Скайрим | Высокий Хротгар | X: 52070.789063, Y: -36267.074219, Z: 22569.347656, IconType: 6 | 0x16352
Скайрим | Высота Драконий Мост | X: -104248.062500, Y: 68533.117188, Z: -7767.815918, IconType: 5 | 0xB2393
Скайрим | Высота Йоргрим | X: 94301.632813, Y: 53066.910156, Z: -3544.271729, IconType: 32 | 0xC33FF
Скайрим | Высота Откушенный Язык | X: 173660.031250, Y: -124358.765625, Z: 17320.333984, IconType: 12 | 0x16235
Скайрим | Гленморильский ковен | X: -78689.476563, Y: -55425.250000, Z: 4237.624512, IconType: 4 | 0x16257
Скайрим | Глотка Мира | X: 56368.152344, Y: -48511.390625, Z: 36378.578125, IconType: 11 | 0x162C4
Скайрим | Глубины Илиналты | X: -30266.236328, Y: -49106.417969, Z: 760.470398, IconType: 6 | 0x1626A
Скайрим | Глубокая Тень | X: 81787.929688, Y: -1865.862183, Z: -9603.800781, IconType: 4 | 0xB6046
Скайрим | Гнездо Ветров Предела | X: -139694.875000, Y: -12857.346680, Z: -1336.535278, IconType: 11 | 0xB23A3
Скайрим | Гора Антор | X: 95163.148438, Y: 67274.679688, Z: 259.365234, IconType: 12 | 0x1628A
Скайрим | Горный приют | X: -107785.148438, Y: 56745.636719, Z: -7607.971191, IconType: 30 | 0xB238B
Скайрим | Гробница Исграмора | X: 94632.968750, Y: 120811.843750, Z: -13480.660156, IconType: 7 | 0x162D2
Скайрим | Гробница Хилгрунда | X: 80895.796875, Y: -17224.867188, Z: -5820.893066, IconType: 7 | 0x162CB
Скайрим | Грот Серая Вода | X: 14989.250000, Y: -90292.414063, Z: 10789.790039, IconType: 4 | 0x1625A
Скайрим | Грот Сломанное Весло | X: -66962.867188, Y: 141811.984375, Z: -13643.256836, IconType: 4 | 0xB77C3
Скайрим | Грот Соленая Вода | X: -54049.476563, Y: 131833.750000, Z: -13362.038086, IconType: 4 | 0x2C652
Скайрим | Грот Утопленника | X: -37646.531250, Y: -36967.414063, Z: -3587.073242, IconType: 4 | 0x16215
Скайрим | Данстар | X: 30808.154297, Y: 106138.281250, Z: -13921.287109, IconType: 52 | 0x1773A
Скайрим | Данстарское убежище | X: 31376.117188, Y: 113969.710938, Z: -13816.000000, IconType: 3 | 0x5E0A6
Скайрим | Двуглавый пик | X: 69753.992188, Y: 19533.771484, Z: 1406.838745, IconType: 12 | 0x16237
Скайрим | Деревня Анга | X: 111621.890625, Y: 32315.974609, Z: -11877.102539, IconType: 14 | 0x162D6
Скайрим | Деревня Лесная | X: 133151.109375, Y: -95797.187500, Z: 10726.055664, IconType: 14 | 0x1634F
Скайрим | Дом Буранов | X: 39159.851563, Y: 39374.941406, Z: -8700.764648, IconType: 29 | 0x16214
Скайрим | Дом Дреласа | X: -30648.560547, Y: 26970.146484, Z: -4338.365723, IconType: 30 | 0xE66AD
Скайрим | Драконий Мост | X: -102147.765625, Y: 82900.218750, Z: -12210.258789, IconType: 2 | 0x17753
Скайрим | Древний каирн | X: -17461.404297, Y: 18255.033203, Z: -6246.857422, IconType: 7 | 0xF5B8D
